id_name	Heading_date	Plant_height	Num_panicles	Num_effective_panicles	Yield	Grain_weight	Spikelet_length	Grain_length	Grain_width	Grain_thickness
C001	80	144.1300049	10.80000019	10.80000019	24.12999916	21.60000038	19.28000069	8.5	2.900000095	1.960000038
C002	96	177.6199951	7.800000191	7.800000191	15.18000031	22.02000046	27.73999977	10.19999981	2.630000114	1.960000038
C003	82	141.5700073	8.5	8.5	24.54000092	25.75	26.37000084	8.75	3.319999933	2.119999886
C004	84	140.3999939	15.19999981	15.19999981	18.8199997	22.07999992	21.75	7.829999924	3.220000029	2.079999924
C005	102	163.3300018	5.800000191	5.800000191	22.5	28.97999954	30.47999954	10.47000027	3	1.950000048
C006	91	108.2300034	9.75	9.75	13.96000004	15.55000019	22.60000038	8.100000382	2.470000029	1.690000057
C007	91	107.9700012	13.80000019	13.80000019	20.44000053	15.21000004	22.09000015	8.350000382	2.470000029	1.720000029
C008	143	87.47000122	12.19999981	12.19999981	6.03000021	14.90999985	20.20999908	7.619999886	2.829999924	1.75
C009	93	106.8000031	9.25	9.25	29.62000084	22.85000038	20.12999916	7.829999924	3.200000048	2.059999943
C010	96	106.699997	8	8	21.36000061	21.18000031	21.54999924	9.600000382	2.630000114	1.899999976
C011	109	100.4300003	12.39999962	12.39999962	24.11000061	23	26.48999977	9.279999733	2.819999933	1.940000057
C012	97	114.0999985	9.199999809	9.199999809	22.96999931	18.18000031	22.09000015	7.949999809	3.630000114	1.99000001
C013	91	150.4299927	11.19999981	11.19999981	25.70999908	19.04000092	20.14999962	7.920000076	3.019999981	1.919999957
C014	78	82.43000031	10.39999962	10.39999962	22.38999939	22.96999931	17.51000023	8.479999542	3.450000048	2.029999971
C015	89	152.199997	8.199999809	8.199999809	23.25	23.45999908	25.32999992	9.449999809	2.980000019	1.99000001
C016	53	77.73000336	15.75	15.75	12.43000031	17.12000084	14.86999989	7.630000114	3.480000019	2.24000001
C017	50	92.66999817	8.329999924	8.329999924	8.93999958	20.89999962	18.82999992	8.069999695	3.519999981	2.269999981
C018	60	78.26999664	16.20000076	16.20000076	14.89000034	17.85000038	15.06999969	7.570000172	3.720000029	2.269999981
C019	72	80.25	13	13	14.97000027	20.85000038	20.17000008	7.920000076	3.269999981	1.960000038
C020	71	78.16999817	10.80000019	10.80000019	21.40999985	22.12000084	19.40999985	7.53000021	3.519999981	2.099999905
C021	71	80.83000183	11.60000038	11.60000038	24.07999992	19.23999977	18.95999908	7.480000019	3.069999933	1.980000019
C022	70	77.30000305	20.5	13.75	21.10000038	17.82999992	18.35000038	8.270000458	2.700000048	1.830000043
C023	73	89.38999939	17.79999924	17.79999924	27.12999916	20.59000015	20.35000038	7.880000114	3.579999924	2
C024	74	85.33000183	11.80000019	11.60000038	21.54000092	21.19000053	18.77000046	8.229999542	3.329999924	2
C025	90	82.83000183	12.19999981	12.19999981	25.69000053	20.79999924	17.59000015	8.149999619	3.079999924	1.940000057
C026	80	104.699997	10.19999981	10.19999981	25.88999939	22.17000008	19.39999962	7.579999924	3.650000095	2.210000038
C027	89	100.4700012	11.39999962	11.39999962	27.54000092	22.93000031	24.02000046	10.07999992	2.849999905	1.99000001
C028	81	86.97000122	8.800000191	8.800000191	25.84000015	23.46999931	15.23999977	7.230000019	3.519999981	2.200000048
C029	88	94	5.400000095	5.400000095	19	17.76000023	21.12999916	7.769999981	4.019999981	2
C030	92	99.5699997	10.39999962	10.39999962	33.02999878	21.79999924	24.37999916	10.38000011	2.930000067	2.00999999
C031	95	96.26999664	9	9	28.47999954	21.21999931	22.85000038	9.119999886	2.779999971	1.870000005
C032	72	107.8000031	14.80000019	14.80000019	22.01000023	26.3199997	18.56999969	8.130000114	3.720000029	2.150000095
C033	73	132.0399933	11	11	25.18000031	21.69000053	21.75	7.420000076	3.369999886	2.019999981
C034	83	110.5	15.5	15.5	30.28000069	20.29999924	23.69000053	8.449999809	3.450000048	2.00999999
C035	75	102.5800018	16.5	14.75	15.55000019	21.80999947	18.86000061	8.600000382	3.650000095	2.039999962
C036	85	95.0699997	12	12	28.86000061	26.47999954	19.70000076	9.670000076	3.130000114	2.039999962
C037	85	105.3300018	9.600000382	9.600000381	27.64999962	23.0699997	21.37000084	7.829999924	3.230000019	2.019999981
C038	93	101.3300018	7.199999809	7.199999809	20.54999924	22.26000023	25.15999985	9.550000191	2.829999924	2.039999962
C039	86	109.4300003	8.800000191	8.800000191	30.0699997	23.95000076	22.02000046	8.220000267	3.329999924	2
C040	88	102.4599991	9	9	25.01000023	21.86000061	23.72999954	7.619999886	3.049999952	1.960000038
C041	91	113.0999985	7.599999905	7.599999905	26.12000084	22.95999908	22.55999947	8.119999886	3.319999933	1.980000019
C042	92	103.6699982	10.39999962	10.39999962	27.46999931	23.42000008	20.06999969	7.650000095	3.470000029	2.180000067
C043	94	106.3300018	9	8.399999619	22.34000015	25.70999908	21.07999992	8.170000076	3.200000048	1.980000019
C044	93	104.3300018	8.199999809	8.199999809	20.21999931	22.62999916	21.56999969	10	3.180000067	2
C045	90	106.2300034	13.39999962	13.19999981	27.60000038	16.70000076	16.55999947	8.029999733	2.470000029	1.809999943
C046	91	172.3699951	12.60000038	12.60000038	28.5	21.94000053	26.31999969	10.30000019	2.599999905	1.899999976
C047	97	97.52999878	9.399999619	9.399999619	22.12000084	22.71999931	25.45000076	7.900000095	3.279999971	2.029999971
C048	89	97.33000183	8.800000191	8.800000191	25.64999962	25.13999939	21.75	7.949999809	3.700000048	2.299999952
