Cultivar ID,Subpopulation,Location,Longitude,Latitude,Cultivar Name
W014,Intermediate,Afghanistan,69,34.5,Red Khosha Cerma
W015,Aus,Afghanistan,69,34.5,Safut Khosha
W068,Japonica,Afghanistan,69,34.5,Gazan
W100,Aus,Afghanistan,69,34.5,Spin Mere
W129,Intermediate,Afghanistan,69,34.5,2
GP562,Intermediate,Albania,NA,NA,Sesia
GP563,Japonica,Albania,NA,NA,Rialto
C017,Japonica,China,116.28,39.54,AnnongwangengB-1
C069,Indica,China,116.28,39.54,Dangyu5hao
C181,Japonica,China,116.28,39.54,Feidongtangdao
C183,Indica,China,116.28,39.54,Leihuozhan
C203,Indica,China,116.28,39.54,Zaoxian240
W167,Indica,China,116.28,39.54,Zihui100
W318,Indica,China,116.28,39.54,Qiuqianbai
W327,Japonica,China,116.28,39.54,JinghuB
GP566,Japonica,Argentina,NA,NA,Panuoxiameika
GP594,Japonica,Argentina,NA,NA,Japonesito des Meses F.A
W019,Japonica,Argentina,-54.84,-34.62,H57-3-1
W136,Intermediate,Argentina,-54.84,-34.62,LA PLATA GENA F.A.
GP611,Japonica,Australia,NA,NA,Baru
W050,Intermediate,Azerbaijan,49.53,40.22,Ak Tokhum
W081,Intermediate,Azerbaijan,49.53,40.22,Gasym Hany
W082,Japonica,Azerbaijan,49.53,40.22,Celiaj
W079,Intermediate,Bangladesh,90.24,23.51,A 152
W095,Aus,Bangladesh,90.24,23.51,DJ 24
W096,Aus,Bangladesh,90.24,23.51,DJ 102
W141,Aus,Bangladesh,90.24,23.51,DNJ 179
W142,Aus,Bangladesh,90.24,23.51,DNJ 121
W147,Indica,Bangladesh,90.24,23.51,BR11
W277,Aus,Bangladesh,90.24,23.51,Lakkhi kajal
W278,Aus,Bangladesh,90.24,23.51,Moisdol
W279,Aus,Bangladesh,90.24,23.51,Jabor sail
W286,Aus,Bangladesh,90.24,23.51,Garia
W287,Aus,Bangladesh,90.24,23.51,AUS 449
W292,Aus,Bangladesh,90.24,23.51,Khoia boro
W296,Aus,Bangladesh,90.24,23.51,AUS 371
W297,Aus,Bangladesh,90.24,23.51,AUS 373
W310,Indica,Bangladesh,90.24,23.51,BRRI DHAN 29
W314,Indica,Bangladesh,90.24,23.51,BRRI DHAN 28
W330,Aus,Bangladesh,90.24,23.51,ASWINA 330
C149,Japonica,China,116.28,39.54,Zhonghua11
C172,Japonica,China,116.28,39.54,Zhonghua8hao
W328,Intermediate,China,116.28,39.54,Sibeitichao6
W303,Japonica,Belize,-88.46,17.25,British Honduras Creole
GP1,Intermediate,Bengal,NA,NA,Rata 31-2 (Acc.29388)
GP104,Aus,Bengal,NA,NA,DV 110
GP124,Aus,Bengal,NA,NA,DNJ 126
GP2,Intermediate,Bengal,NA,NA,Rata 710 (Acc.29397)
GP36,Aus,Bengal,NA,NA,DV 86
GP512,Aus,Bengal,NA,NA,DJ 10
GP531,Aus,Bengal,NA,NA,Panchpai
GP533,Aus,Bengal,NA,NA,Jabonl
GP8,Aus,Bengal,NA,NA,Bhat Mukhu
GP89,Aus,Bengal,NA,NA,Dharial
W049,Aus,Bhutan,89.7,27.5,PHUDUGEY
W143,Japonica,Bhutan,89.7,27.5,Jyanak
GP3,Indica,Brazil,NA,NA,Secano do Brazil
GP39,Japonica,Brazil,NA,NA,IAC 25
GP532,Japonica,Brazil,NA,NA,Catatao
GP573,Indica,Brazil,NA,NA,IAC 435
GP658,Intermediate,Brazil,NA,NA,IAC 150/76
GP659,Japonica,Brazil,NA,NA,CNA 762069
W118,Japonica,Brazil,-47.57,-15.45,EMBRAPA 1200
W168,Indica,Brazil,-47.57,-15.45,Bg90-2
W288,Japonica,Brazil,-47.57,-15.45,Dourado Precoce
W113,Japonica,Brunei,114.55,4.52,Simpor
GP581,Japonica,Bulgaria,NA,NA,Mira
GP64,Indica,Burma,NA,NA,X69-56-12-10-6-3
W093,Indica,Cambodia,104.55,11.35,Srav Prapay
W104,Aus,Chad,15.04,12.1,CAROLINO 164
W145,Indica,Chad,15.04,12.1,GUYANE 1
C004,Japonica,China,116.28,39.54,Li-Jiang-Xin-Tuan-Hei-Gu 
C006,Indica,China,116.28,39.54,Shan-Huang Zhan-2-1 
HP1,Japonica,China,116.28,39.54,Dadongnuo
HP10,Japonica,China,116.28,39.54,Tainanxuan-370
HP100,Japonica,China,116.28,39.54,Baizhidao
HP101,Japonica,China,116.28,39.54,Jiuniandao
HP102,Japonica,China,116.28,39.54,Jinggoudan
HP103,Japonica,China,116.28,39.54,Binxianludao
HP104,Japonica,China,116.28,39.54,Boshun-2
HP105,Japonica,China,116.28,39.54,Xingrenxiaobaiwanggu
HP106,Japonica,China,116.28,39.54,Shikui
HP107,Japonica,China,116.28,39.54,Baibanghuinuo-2
HP108,Japonica,China,116.28,39.54,Hanghe
HP109,Japonica,China,116.28,39.54,Maomaonuo
HP11,Japonica,China,116.28,39.54,Wuzhunuo
HP110,Japonica,China,116.28,39.54,Duandingmongbaimi
HP111,Japonica,China,116.28,39.54,Lengshuixian
HP112,Japonica,China,116.28,39.54,Baikehandao
HP113,Japonica,China,116.28,39.54,Laohuanggu
HP114,Japonica,China,116.28,39.54,Yanzhigu
HP115,Japonica,China,116.28,39.54,Hongbeizigu
HP116,Japonica,China,116.28,39.54,Baidadu
HP117,Japonica,China,116.28,39.54,Youmangzhandao
HP119,Indica,China,116.28,39.54,Huakemangnuo
HP12,Japonica,China,116.28,39.54,Zunhuawenzizui
HP120,Indica,China,116.28,39.54,Shanglanxiannuo-19
HP121,Indica,China,116.28,39.54,Zhuxuenuo
HP122,Japonica,China,116.28,39.54,Fenglinghuangmaozi
HP123,Japonica,China,116.28,39.54,Tangxianxiaonaoguan
HP124,Japonica,China,116.28,39.54,Xingtaidaozi
HP125,Japonica,China,116.28,39.54,Xiatiandai-5
HP127,Japonica,China,116.28,39.54,Wuyishuidao
HP128,Japonica,China,116.28,39.54,Xiaohouerbei
HP129,Japonica,China,116.28,39.54,Zhuyiedao
HP13,Japonica,China,116.28,39.54,Fengrunhandaozi
HP130,Japonica,China,116.28,39.54,Huangchuanhuihangdao
HP131,Japonica,China,116.28,39.54,Longhuamaohulu
HP132,Japonica,China,116.28,39.54,Qiangdaohuo
HP133,Japonica,China,116.28,39.54,Niushizijing
HP134,Japonica,China,116.28,39.54,Jijiaonuo
HP135,Japonica,China,116.28,39.54,Yangnuodao
HP136,Japonica,China,116.28,39.54,Yueziguang
HP137,Japonica,China,116.28,39.54,Huanggennuo
HP138,Japonica,China,116.28,39.54,Xianggennuo
HP139,Japonica,China,116.28,39.54,Niulangmiaogen
HP14,Japonica,China,116.28,39.54,Qiananshuinuo
HP140,Japonica,China,116.28,39.54,Youmangxiaobaiwang
HP141,Japonica,China,116.28,39.54,Hongnuo
HP142,Japonica,China,116.28,39.54,Zhareke
HP143,Indica,China,116.28,39.54,Langxihongken
HP144,Indica,China,116.28,39.54,Xianghenuo
HP145,Japonica,China,116.28,39.54,Xiaominian
HP146,Japonica,China,116.28,39.54,Shangpiannian
HP147,Japonica,China,116.28,39.54,Dahonggu
HP148,Japonica,China,116.28,39.54,Hongminuo
HP149,Indica,China,116.28,39.54,Guanglong-1
HP15,Japonica,China,116.28,39.54,Changmaodao-1-1
HP150,Japonica,China,116.28,39.54,Muxinuo
HP151,Japonica,China,116.28,39.54,Honggen
HP152,Japonica,China,116.28,39.54,Baigen
HP153,Japonica,China,116.28,39.54,Mengjama-2
HP154,Japonica,China,116.28,39.54,Lipinghangnuo
HP155,Japonica,China,116.28,39.54,Heinuo-2
HP156,Japonica,China,116.28,39.54,Dahuanggu
HP157,Japonica,China,116.28,39.54,Changmaonian
HP158,Japonica,China,116.28,39.54,Makenian
HP159,Japonica,China,116.28,39.54,Jialigen-1
HP16,Japonica,China,116.28,39.54,Handao-3-1
HP160,Japonica,China,116.28,39.54,Ernianbai
HP161,Japonica,China,116.28,39.54,Jiyuanhandao
HP162,Japonica,China,116.28,39.54,Mahuangkejingnuo
HP163,Japonica,China,116.28,39.54,Heinuo
HP164,Indica,China,116.28,39.54,Huihuinuo
HP165,Japonica,China,116.28,39.54,Zhaoshixiang
HP166,Japonica,China,116.28,39.54,Xuxuwangmi
HP167,Indica,China,116.28,39.54,Nuozhagu
HP168,Japonica,China,116.28,39.54,Dalinian
HP169,Japonica,China,116.28,39.54,Hanggu
HP17,Japonica,China,116.28,39.54,Wulongbei-3
HP170,Japonica,China,116.28,39.54,Zhaoshuhupihuangmangdao
HP171,Japonica,China,116.28,39.54,Hupiwumangnuo
HP172,Japonica,China,116.28,39.54,Magunuo
HP173,Japonica,China,116.28,39.54,Zhuniaonuo
HP174,Indica,China,116.28,39.54,Hangxiandahezi
HP175,Japonica,China,116.28,39.54,Songping
HP176,Indica,China,116.28,39.54,Shanlinwan
HP177,Indica,China,116.28,39.54,Ningdexian
HP178,Japonica,China,116.28,39.54,Hongxian
HP179,Indica,China,116.28,39.54,Yanjing
HP18,Japonica,China,116.28,39.54,Dandongludao
HP180,Indica,China,116.28,39.54,Yizhuai
HP181,Indica,China,116.28,39.54,Baiyinqiu
HP182,Indica,China,116.28,39.54,Honggu-2
HP183,Indica,China,116.28,39.54,Xiangxian
HP184,Indica,China,116.28,39.54,Banshanxian
HP185,Indica,China,116.28,39.54,Xiyeqing
HP186,Indica,China,116.28,39.54,Dayeqing
HP187,Indica,China,116.28,39.54,Bayuenuo
HP188,Indica,China,116.28,39.54,Wusuobi
HP189,Indica,China,116.28,39.54,Huazaobai
HP19,Japonica,China,116.28,39.54,Handaozi
HP190,Indica,China,116.28,39.54,Maweixian
HP191,Indica,China,116.28,39.54,Taiwannuo
HP192,Indica,China,116.28,39.54,Handao
HP193,Indica,China,116.28,39.54,Panyeqing
HP194,Indica,China,116.28,39.54,Sanlicun-6
HP195,Indica,China,116.28,39.54,Dayeliu
HP196,Indica,China,116.28,39.54,Heigudadao
HP197,Indica,China,116.28,39.54,Hongdounuo
HP198,Indica,China,116.28,39.54,Jiankenuo
HP199,Indica,China,116.28,39.54,Shipishu
HP2,Japonica,China,116.28,39.54,Yezhuwan
HP20,Japonica,China,116.28,39.54,Bufujin
HP200,Indica,China,116.28,39.54,Shaozhimanzhong
HP201,Indica,China,116.28,39.54,Huazhan
HP202,Indica,China,116.28,39.54,Haiwu
HP203,Indica,China,116.28,39.54,Mazinuo
HP204,Indica,China,116.28,39.54,Lengshuibai
HP205,Indica,China,116.28,39.54,Dingzhounuo
HP206,Indica,China,116.28,39.54,Erdonghe-1
HP207,Indica,China,116.28,39.54,Mazimang
HP208,Indica,China,116.28,39.54,Jinbaoyin-3
HP209,Indica,China,116.28,39.54,baimizai
HP21,Japonica,China,116.28,39.54,Luweidao
HP210,Indica,China,116.28,39.54,Wukejian
HP211,Indica,China,116.28,39.54,Pingnanbai
HP212,Indica,China,116.28,39.54,Yizhixiangshu
HP213,Indica,China,116.28,39.54,Leigongman
HP214,Indica,China,116.28,39.54,Huaihe
HP215,Indica,China,116.28,39.54,Hongmiguyoumang
HP216,Indica,China,116.28,39.54,Xianshuichi
HP217,Indica,China,116.28,39.54,Erzhi
HP218,Indica,China,116.28,39.54,Liuzhuzhan
HP219,Indica,China,116.28,39.54,Anqinggu
HP22,Japonica,China,116.28,39.54,Zhandaozi
HP220,Indica,China,116.28,39.54,Zaomabao
HP221,Indica,China,116.28,39.54,Dabaizao
HP222,Indica,China,116.28,39.54,Qimei-1
HP223,Japonica,China,116.28,39.54,Shuangliushangu
HP224,Indica,China,116.28,39.54,Dayaozhan
HP225,Indica,China,116.28,39.54,Taidongwuzhan
HP226,Indica,China,116.28,39.54,Zaodaxian
HP227,Indica,China,116.28,39.54,Jianongxianyu-36
HP228,Indica,China,116.28,39.54,Jianongxianyu-40
HP229,Indica,China,116.28,39.54,Zaohechi
HP23,Japonica,China,116.28,39.54,Baizhandao
HP230,Indica,China,116.28,39.54,Qihe
HP231,Indica,China,116.28,39.54,Jiangzhan
HP232,Indica,China,116.28,39.54,Changweizhan
HP233,Indica,China,116.28,39.54,Heigu
HP234,Indica,China,116.28,39.54,Wanjinxian
HP235,Indica,China,116.28,39.54,Pangqiunuo
HP236,Indica,China,116.28,39.54,Dayezao
HP237,Indica,China,116.28,39.54,Yahezhong
HP238,Indica,China,116.28,39.54,Simaobai
HP239,Indica,China,116.28,39.54,Datiezao
HP24,Japonica,China,116.28,39.54,Huoshaodahe
HP240,Indica,China,116.28,39.54,Yanshuichi
HP241,Japonica,China,116.28,39.54,Dachangmanghandao
HP242,Indica,China,116.28,39.54,Shanlan-19
HP243,Indica,China,116.28,39.54,Handao
HP244,Indica,China,116.28,39.54,Luotianzaonuo
HP245,Indica,China,116.28,39.54,Tongzinuo
HP246,Indica,China,116.28,39.54,Nantianzhan
HP247,Indica,China,116.28,39.54,Wufenglengshuizhan
HP248,Indica,China,116.28,39.54,Xiaohonggu 
HP249,Indica,China,116.28,39.54,Guizhounuo
HP25,Japonica,China,116.28,39.54,Dalizhan
HP250,Indica,China,116.28,39.54,Changainuo
HP251,Indica,China,116.28,39.54,Zhenzhunuo
HP252,Indica,China,116.28,39.54,Huohandao
HP253,Indica,China,116.28,39.54,Yelicang
HP254,Indica,China,116.28,39.54,Jibiezi
HP255,Indica,China,116.28,39.54,Likehandao
HP256,Japonica,China,116.28,39.54,Mifengdao
HP257,Indica,China,116.28,39.54,Gedadao
HP258,Japonica,China,116.28,39.54,Honggudao
HP259,Indica,China,116.28,39.54,Caomaodan
HP26,Indica,China,116.28,39.54,Huangdao
HP260,Indica,China,116.28,39.54,Hongjiaowen
HP261,Indica,China,116.28,39.54,Dayemaozhan
HP262,Indica,China,116.28,39.54,Makezao
HP263,Indica,China,116.28,39.54,Ruanzhanjiugu
HP264,Indica,China,116.28,39.54,Changruangu
HP265,Indica,China,116.28,39.54,Xiaoshaogu
HP266,Indica,China,116.28,39.54,Dahangu-2
HP267,Indica,China,116.28,39.54,Dabaihangu
HP268,Indica,China,116.28,39.54,Luanjiaohuangzhan
HP269,Indica,China,116.28,39.54,Shiyanggu
HP27,Intermediate,China,116.28,39.54,Youmanghandao
HP270,Indica,China,116.28,39.54,Wangu
HP271,Japonica,China,116.28,39.54,Baikeshangu
HP272,Japonica,China,116.28,39.54,Zhankenuo-2
HP273,Indica,China,116.28,39.54,Fennuo
HP274,Indica,China,116.28,39.54,Bairizao-4
HP275,Japonica,China,116.28,39.54,Longyangnuo
HP276,Indica,China,116.28,39.54,Hanhe-2
HP277,Indica,China,116.28,39.54,Maonuo-2
HP278,Japonica,China,116.28,39.54,Heiyaonuo
HP279,Indica,China,116.28,39.54,Zaonuo-2
HP28,Japonica,China,116.28,39.54,Zaodao
HP280,Japonica,China,116.28,39.54,Sankecun
HP281,Indica,China,116.28,39.54,Yangkenuo
HP282,Japonica,China,116.28,39.54,Dayegu
HP283,Japonica,China,116.28,39.54,Chuanbaizao
