"Cultivar Name","Cultivar ID","Subpopulation","Location","Accession"
"02428","C152","Temperate Japonica","Jiangsu","SRR1239752"
"02428-IL","CX277","Temperate Japonica","China","ERS470588"
"053A-3","CX351","Temperate Japonica","China","ERS470636"
"10340","W146","Indica I","Italy","SRR1239949"
"104_UPLA","IRIS_313-8063","Tropical Japonica","Argentina","ERS468624"
"105","IRIS_313-8783","Indica Intermediate","Sri Lanka","ERS467974"
"1088","CX387","Indica II","None","ERS470673"
"108S","CX5","Indica II","China","ERS470699"
"108S","W150","Indica II","Unknown","SRR1239953"
"117","CX314","Indica II","China","ERS470612"
"13946(GUANG-QIU_15)","IRIS_313-11422","Indica I","China","ERS470213"
"19","IRIS_313-11821","Indica III","India","ERS468972"
"2","W129","VI/Aromatic","Afghanistan","SRR1239932"
"2/53","GP53","Indica Intermediate","Cuba","ERR036657"
"2004","CX249","Indica II","China","ERS470570"
"2037(Rajahamsal)","B012","Indica Intermediate","India","ERS470230"
"221_B-36-1-1-1-1","IRIS_313-10565","Indica Intermediate","Indonesia","ERS469423"
"221_BC4-1-45-10","IRIS_313-10550","Indica Intermediate","Indonesia","ERS469409"
"221_C-391-1-3-3","IRIS_313-10566","Indica Intermediate","Indonesia","ERS469424"
"24869","IRIS_313-8399","Temperate Japonica","France","ERS467797"
"250_KUNGANI_1","IRIS_313-10564","Temperate Japonica","Japan","ERS469422"
"3210","IRIS_313-10298","Indica II","Sri Lanka","ERS468301"
"32_UPLA","IRIS_313-8064","Tropical Japonica","Argentina","ERS468625"
"34","IRIS_313-11036","Aus","Pakistan","ERS469835"
"36037-1","IRIS_313-11586","Temperate Japonica","China","ERS468778"
"421","IRIS_313-11037","Aus","Pakistan","ERS469836"
"42686","CX364","Indica II","None","ERS470649"
"4484","W086","Indica II","China","SRR1239889"
"452","W195","Indica II","Unknown","SRR1239998"
"4583","IRIS_313-11202","Temperate Japonica","China","ERS469993"
"4595","W138","Indica I","China","SRR1239941"
"498-2A_BR_8","IRIS_313-8450","Indica III","India","ERS467942"
"503","HP295","Indica I","China","ERR009780"
"62667","IRIS_313-7838","Tropical Japonica","Senegal","ERS468599"
"63-83(Acc.14725)","GP55","Tropical Japonica","Ivory Coast","ERR036659"
"70X-46","GP507","Temperate Japonica","Japan","ERR036756"
"71011","B181","Indica I","Australia","ERS470386"
"7507-137","IRIS_313-9438","Temperate Japonica","Japan","ERS467845"
"7516-14","IRIS_313-11246","Temperate Japonica","Japan","ERS470040"
"75_UPLA","IRIS_313-8061","Tropical Japonica","Argentina","ERS468627"
"76--1","B143","Temperate Japonica","China","ERS470353"
"76--1","C167","Indica Intermediate","Unknown","SRR1239767"
"77-061","GP120","Indica II","Philippine","ERR036722"
"77-2087","HP504","Indica I","China","ERR009702"
"77_UPLA","IRIS_313-8060","Tropical Japonica","Argentina","ERS468628"
"78_XUAN_WU","IRIS_313-11806","Indica I","China","ERS468955"
"79","W077","VI/Aromatic","Guyana","SRR1239880"
"79_UPLA","IRIS_313-8057","Tropical Japonica","Argentina","ERS468629"
"7_AC","IRIS_313-10711","Tropical Japonica","Liberia","ERS469555"
"80050YR72136-43","B054","Tropical Japonica","Australia","ERS470268"
"80_UPLA","IRIS_313-8062","Tropical Japonica","Argentina","ERS468630"
"80A60YR71009-1-5","B191","Japonica Intermediate","Australia","ERS470395"
"80A97YR303-304-1-3","B053","Tropical Japonica","Australia","ERS470267"
"80B","B137","Indica Intermediate","Philippines","ERS470347"
"80B","C114","Indica Intermediate","Hunan","SRR1239714"
"81_A_32","IRIS_313-9140","Temperate Japonica","China","ERS467809"
"81Y4-5","GP501","Temperate Japonica","Japan","ERR036750"
"829","CX250","Indica II","China","ERS470572"
"88B","B157","Indica Intermediate","China","ERS470367"
"88B-1","C030","Indica Intermediate","Jiangsu","SRR1239630"
"88B-2","C031","Indica Intermediate","Hunan","SRR1239631"
"9/53","GP54","Indica Intermediate","Cuba","ERR036658"
"91-382","IRIS_313-11661","Temperate Japonica","Bhutan","ERS468838"
"91_UPLA","IRIS_313-8058","Tropical Japonica","Argentina","ERS468631"
"93072","CX4","Indica Intermediate","China","ERS470685"
"93072","W149","Indica Intermediate","China","SRR1239952"
"9311","C148","Indica II","Hunan","SRR1239748"
"99216","W069","Aus","India","SRR1239872"
"A_152","W079","Intermediate","Bangladesh","SRR1239882"
"A_2-257","IRIS_313-11755","Tropical Japonica","Liberia","ERS468918"
"A_201","IRIS_313-8173","Tropical Japonica","United States","ERS468510"
