	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Os01g0100100	932263285.89199	-0.809380864895079	0.118430346516521	-6.83423538562533	8.2443560810046e-12	6.30161463482253e-11
Os01g0100200	6095456.91484868	2.38578149392243	2.80995164828335	0.849047169683487	0.395855045598887	0.594525410882421
Os01g0100300	1.9777665529741	-0.0410939064715446	0.895408748265317	-0.0458940194086289	0.963394720976885	NA
Os01g0100400	166899587.894122	0.600139210299862	0.437683204987705	1.37117258204303	0.170321163077896	0.308039478015516
Os01g0100466	1.9777665529741	-0.0410939064715446	0.895408748265317	-0.0458940194086289	0.963394720976885	NA
Os01g0100600	421322879.858151	0.536377388641017	0.206821733409631	2.59342855220475	0.00950242808679488	0.025862473262072
Os01g0100650	0.988883276487052	-0.0411138587425744	1.24868614895106	-0.0329256945607282	0.973733842604845	NA
Os01g0100800	768872901.535444	-0.417483346390726	0.154518518669753	-2.70183373478359	0.0068958236215818	0.0193545605265707
Os01g0101150	14872865.0424209	0.180638747655785	0.302733849312866	0.596691609034775	0.550713295827946	0.755198415108641
Os01g0101175	0.988883276487052	-0.0411138587425744	1.24868614895106	-0.0329256945607282	0.973733842604845	NA
Os01g0101200	87901193.1478877	-0.478908512967035	0.444435876945312	-1.07756492625811	0.281227961593329	0.459428495729436
Os01g0101300	124178019.648514	-0.385064462853706	0.189380725579528	-2.03328222381323	0.0420240180542653	0.0954827684844072
Os01g0101600	373967940.818612	-0.213854467677189	0.168281102720838	-1.27081689042621	0.203793798427865	0.356026629787574
Os01g0101700	304019982.097324	0.393099847175448	0.289631387472086	1.35724187425416	0.174704369542224	0.314458193631083
Os01g0101800	14603114.1646842	22.6844959231622	2.68097331206217	8.4612912113301	2.64433157375251e-17	3.10807539832248e-16
Os01g0101850	59985.3969255226	15.8722053009043	2.20023880063111	7.21385573981861	NA	NA
Os01g0101900	310146412.951666	30.1778368565447	2.68540249698271	11.2377332226555	NA	NA
Os01g0102000	74855774.1759396	6.04024880184358	1.89921388645286	3.18039418568325	0.00147074840833716	0.00473930089807456
Os01g0102300	206704344.203543	1.20955581676177	0.229796201158709	5.26360231658655	1.41259834322053e-07	7.34714967116762e-07
Os01g0102400	4073729.01870228	1.01428807587487	2.74336322833299	0.369724309708416	0.711587916783007	0.893038372259134
Os01g0102600	74559228.5024888	0.298702612789924	0.51312222561846	0.582127606010246	0.560480731627198	0.764097167193566
Os01g0102800	1378091447.04889	-0.440335735579699	0.168912008823999	-2.60689419683899	0.009136758754018	0.0249534052867243
Os01g0102850	149067898.189841	-1.01904889659828	0.392491921774082	-2.596356358093	0.00942182911873829	0.0256631780207021
Os01g0103000	130555924.266084	-2.08487024798463	0.30567102480257	-6.82063420741702	9.06394655916167e-12	6.91182392114788e-11
Os01g0103050	67016.0722166098	-18.0726642706701	2.50680833122122	-7.2094320278032	NA	NA
Os01g0103100	1.9777665529741	-0.0410939064715446	0.895408748265317	-0.0458940194086289	0.963394720976885	NA
Os01g0103075	0.988883276487052	-0.0411138587425744	1.24868614895106	-0.0329256945607282	0.973733842604845	NA
ENSRNA049442722	0.988883276487052	-0.0411138587425744	1.24868614895106	-0.0329256945607282	0.973733842604845	NA
Os01g0103400	310344064.041804	0.107114452356713	0.179297247420977	0.597412698172752	0.55023187790428	0.754737192225293
Os01g0103600	1402619040.36009	0.486779312440386	0.12064140402587	4.03492744776083	5.46191720954204e-05	0.000218501889476158
Os01g0103650	2.96664982946116	-0.0410818055082577	0.737477202309702	-0.0557058650485652	0.955576127126884	0.983402201491488
Os01g0103700	156483779.083174	-1.75073170788139	0.350809624832856	-4.99054639311998	6.02087371608768e-07	2.97396403777358e-06
Os01g0103800	332067525.645421	0.836438575537545	0.170997957113976	4.89151209555113	1.00064243088643e-06	4.8522949794532e-06
Os01g0103900	79447050.0752254	0.452714913744915	0.669341663269467	0.676358485640328	0.498813068188624	0.705223717752327
Os01g0104000	133947774.025407	0.0625793848715823	0.325427513627178	0.192298998244124	0.847508003041211	0.983402201491488
Os01g0104100	1351434709.47749	0.218361716773884	0.156121667606225	1.39866374810089	0.161913840090649	0.295629713224616
Os01g0104200	178795706.557429	-1.57600907239607	0.494359352587539	-3.18798271772759	0.00143269099211192	0.00462526069204706
Os01g0104350	114350051.801882	-1.294804837545	0.344614944288347	-3.7572509811461	0.000171790177902431	0.000643403069462943
Os01g0104500	4494014.20553871	-0.0406783923362272	1.14424599900202	-0.0355503907129285	0.971640865767521	0.993449314444928
Os01g0104600	575762652.67777	-0.0997332892259005	0.248173816336894	-0.401868701130474	0.687780658203008	0.873485801499851
Os01g0104800	481289048.349039	-0.601226548621127	0.235243955490633	-2.5557576914875	0.0105956873748551	0.0284862454064452
Os01g0104900	262313483.639173	-0.138818963709836	0.326260510917915	-0.425485031330568	0.670483131241827	0.8592794997404
Os01g0105300	16383954.0843307	2.21206695496278	0.517462850620071	4.27483239098629	1.91281138657927e-05	8.07959353301616e-05
Os01g0105400	1294377500.15234	-0.375998508220958	0.231141963440717	-1.62669946479621	0.103800942487504	0.206057110207011
Os01g0105700	33560565.7419685	1.59831282628804	0.72565572126183	2.20257730967623	0.0276245546372776	0.066402577457742
Os01g0105800	70309620.2612534	0.436644761921991	0.327257909595859	1.33425273803532	0.182121041002395	0.325309050783772
Os01g0106300	87200331.4418987	1.40794091424384	0.37632992924208	3.74124087626886	0.000183113912505922	0.000683059798966233
Os01g0106500	201497282.044473	-0.382579144154068	0.270892463710609	-1.4122915747216	0.157864126161154	0.28949547275647
Os01g0106600	26801267.2328446	3.09228635527636	1.8649180548366	1.65813524473991	0.0972901714528694	0.195143017401341
Os01g0106700	815574988.174091	-0.392866865976489	0.241608127814584	-1.62604987477071	0.1039390459078	0.206268293515509
Os01g0107000	336717221.831976	0.591683133856816	0.271072642521173	2.18274750396695	0.0290544095250112	0.0692825674876297
Os01g0107400	77619394.7242675	0.510112880906054	0.534236298624566	0.954845041827709	0.339656065719264	0.529600403154525
Os01g0107700	7822367.80877289	0.326057161026206	0.868157609965563	0.375573694549703	0.707233850088511	0.889419314154245
Os01g0107750	5.93329965892231	-0.041060533880153	0.529697767254201	-0.0775169094878366	0.938212339921577	0.983402201491488
Os01g0107801	6850000.65554994	-22.1630584084225	2.67473352413935	-8.28608091550127	NA	NA
Os01g0107900	973613324.18117	0.698914874176731	0.129015452678825	5.41729583290019	6.05071807848837e-08	3.26457639368515e-07
Os01g0108000	1315648337.08875	0.0105195465464919	0.0988378496715905	0.106432369597733	0.915239311701784	0.983402201491488
Os01g0108400	7568476.55468447	1.81487328388649	3.74140363041029	0.485078185399491	0.627620885620911	0.82324996751818
Os01g0108500	0.988883276487052	-0.0411138587425744	1.24868614895106	-0.0329256945607282	0.973733842604845	NA
Os01g0108600	1545058.86108305	-1.00069064919695	2.97285409689557	-0.336609405164529	0.736411365274954	0.913176774512148
Os01g0108700	934829.738883276	-20.0672430940326	3.87391577115269	-5.1800927742065	NA	NA
Os01g0108800	35632981.5476003	5.04905304242196	2.29905333251462	2.19614437430188	0.0280816113277949	0.0673146062341971
Os01g0109000	217868649.994031	0.805027520184675	0.310529866793924	2.5924318600855	0.00953000578120354	0.0259321038157637
Os01g0109300	5039206.76843882	1.43638874683618	2.84766023721635	0.504410156824144	0.613973182123907	0.810745072607622
Os01g0109201	18.788782253254	-0.0410237317522683	0.306201936885611	-0.133976068765344	0.893421498166146	0.983402201491488
Os01g0109366	0.988883276487052	-0.0411138587425744	1.24868614895106	-0.0329256945607282	0.973733842604845	NA
Os01g0109432	22876717.2369717	-0.930844281624294	0.814997478130494	-1.14214375700835	0.253394269693846	0.423873884445556
Os01g0109500	39413069.9996856	-0.984028348961046	0.740875340460897	-1.32819692493596	0.184113060017507	0.328296274981279
Os01g0109750	229436695.010365	0.260291417894629	0.369420671244604	0.704593538357476	0.481063220851132	0.687675062516971
Os01g0110050	18650522.4040015	0.606045435350599	1.81286104116301	0.334303303777658	0.738150697664199	0.914011913562024
Os01g0110100	114494694.585364	-1.18505352783033	0.345190319147573	-3.4330439241655	0.000596845398430693	0.00205459841961101
Os01g0110200	633906617.329296	7.09457528209745	2.24519592031805	3.15989140096622	0.00157827954816678	0.00506322512671017
Os01g0110500	53935228.3028624	2.83477319216834	0.508645739119989	5.57317789995213	2.50133906483513e-08	1.40160125841074e-07
Os01g0110600	7.91106621189642	-0.0410515984253657	0.461825037237885	-0.0888899369139662	0.929169381072492	0.983402201491488
Os01g0110700	4155401.00543208	-17.8277571058358	2.28869171042421	-7.78949695349376	6.72765045259486e-15	6.74086733137307e-14
Os01g0110800	3547292.07237627	2.76313246851851	3.00041732959438	0.920916047665962	0.357094259542305	0.550621505376459
Os01g0111000	595239.977766553	-0.0405720612907459	2.5530305593318	-0.015891725675765	NA	NA
Os01g0111100	17839888.8587357	-0.404477937425552	0.953942234225388	-0.424006740569562	0.671560897444226	0.860126893799756
Os01g0111300	44878044.0798514	1.74304027654114	0.35513548735085	4.90809941170181	9.19632393949093e-07	4.4694615469002e-06
Os01g0111400	338122.172694644	-0.0404207366100176	2.28089748689258	-0.0177214174868883	NA	NA
Os01g0111500	20215738.662035	23.3701582154684	0.477225638561066	48.9708773525543	0	0
Os01g0111600	9564850.22597347	-1.4009830776152	0.790968309554571	-1.77122529523864	0.0765232444704426	0.15935042125696
Os01g0111700	51011415.5806573	0.571541873869874	0.446122711898362	1.28113153315558	0.200147469650317	0.351023925094356
Os01g0111800	1034455.90362147	1.71443756011421	3.38248379453108	0.506857582846714	0.612254749645248	0.809293967939216
Os01g0111900	449065703.268719	2.5344072239647	0.267324930206986	9.48062427998144	2.52766282363873e-21	3.76342516918529e-20
Os01g0112000	146689647.293796	6.31648972628632	2.93247877738244	2.15397627938657	NA	NA
Os01g0112050	11810030.7667289	-1.10693947502589	0.774526398464051	-1.42918237160288	0.152951823079282	0.282338362792932
Os01g0112100	11684590.6796352	-1.03808160950619	0.401192059028925	-2.58749291304229	0.00966771843633685	0.0262628745950452
Os01g0112201	0.988883276487052	-0.0411138587425744	1.24868614895106	-0.0329256945607282	0.973733842604845	NA
Os01g0112300	578830339.563706	0.0935633721594281	0.157108031254805	0.595535259478129	0.551485737411837	0.755819353802586
Os01g0112400	10895954.2772413	-0.746973036827668	1.94088951761718	-0.384861183517918	0.700340265945896	0.884083154740443
Os01g0112500	633894380.169412	1.33377144908615	0.243651959990093	5.47408462932282	4.39778871737687e-08	2.40569678922586e-07
Os01g0112600	788729240.967992	0.253859264885106	0.51474084230502	0.493178788277843	0.621886264308966	0.818576166233516
Os01g0112800	243115.064652675	16.6644476203355	2.31206192207835	7.20761302333785	5.69411733780247e-13	4.85128352681232e-12
Os01g0113000	7661144.9793955	3.26680292271061	2.91412228214394	1.12102465388213	0.262277368358345	0.435693998490798
Os01g0113150	38404.3110998863	-0.0404683878668262	2.36293787279401	-0.0171263021058506	NA	NA
Os01g0113300	39186767.4716644	-1.37634478144098	0.321428392330191	-4.28196392814956	1.85251017603757e-05	7.84271520001842e-05
Os01g0113325	1.9777665529741	-0.0410939064715446	0.895408748265317	-0.0458940194086289	0.963394720976885	NA
Os01g0113350	41678233.6853755	-0.882562302439436	0.292099084778677	-3.02144836608492	0.00251568541730551	0.00774109705306206
Os01g0113400	19933564.3998747	1.57619390851151	0.823391648094574	1.914269973662	0.0555856689495896	0.121427633748868
Os01g0113450	1.9777665529741	-0.0410939064715446	0.895408748265317	-0.0458940194086289	0.963394720976885	NA
Os01g0113500	63730919.8455013	0.384559420852476	0.518104217089151	0.742243371445681	0.457939895017983	0.663591900240264
Os01g0113600	54820392.9088556	0.667519317709946	1.81857979202411	0.367055281620053	0.713577782712467	0.894408296834491
Os01g0113650	55004993.9715789	-1.03121377391531	0.333408861990166	-3.09294050481996	0.00198183862656188	0.00623936147609552
Os01g0113700	2653471.21362091	0.751561011773326	2.27208511624849	0.330780306775766	0.740810437227901	0.915845333393535
Os01g0113750	1.9777665529741	-0.0410939064715446	0.895408748265317	-0.0458940194086289	0.963394720976885	NA
Os01g0113800	157533213.079701	-0.432658402712464	0.768817862738111	-0.562757999887737	0.573599683583466	0.77582556131712
Os01g0113900	2.96664982946116	-0.0410818055082577	0.737477202309702	-0.0557058650485652	0.955576127126884	0.983402201491488
Os01g0113950	2.96664982946116	-0.0410818055082577	0.737477202309702	-0.0557058650485652	0.955576127126884	0.983402201491488
Os01g0114000	0.988883276487052	-0.0411138587425744	1.24868614895106	-0.0329256945607282	0.973733842604845	NA
Os01g0114050	0.988883276487052	-0.0411138587425744	1.24868614895106	-0.0329256945607282	0.973733842604845	NA
Os01g0114100	4122191.98934351	-0.34147776892531	2.33418206409537	-0.146294401871198	0.883688984973856	0.983402201491488
Os01g0114150	1.9777665529741	-0.0410939064715446	0.895408748265317	-0.0458940194086289	0.963394720976885	NA
Os01g0114200	5201231.35352181	21.6332414314121	0.803629790747395	26.9194119985183	1.3016651892566e-159	1.23567931524647e-157
Os01g0114300	43171785.2175538	0.255782095017732	0.412856053964468	0.619543040635043	0.535558676936114	0.740625059587711
Os01g0114400	81941.2388832765	-18.362780432189	2.52067028569599	-7.28487995292045	NA	NA
Os01g0114402	63037.727766553	-0.0404865438601105	2.40064519749292	-0.0168648594562796	NA	NA
Os01g0114550	19870639.1796761	-1.28745579187861	0.281702943778356	-4.5702603409483	4.87118698510385e-06	2.21124685287149e-05
Os01g0114600	756224.047063315	16.5053308818426	2.99757166818745	5.5062339483022	3.66591294728995e-08	2.02364307453223e-07
