	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Os01g0100100	585439856.999046	-0.46957635726254	0.163038710485986	-2.88015254697996	0.00397482798827607	0.018811500814351
Os01g0100200	1057271.56828317	-0.772671355573381	3.07071177092253	-0.251626141824847	0.801330050379669	0.900800900843349
Os01g0101900	1955629.1937758	21.4734182184942	2.60974576273157	8.22816479871145	1.90103424320943e-16	5.85200503156788e-15
Os01g0100400	51150009.7063169	1.13211172140988	0.806959693697329	1.40293465739629	0.160636324905315	0.334859706837593
Os01g0100500	637282381.365565	0.0319568634284831	0.156798594981537	0.203808353207795	0.838503264935242	0.920452317394918
Os01g0100600	233673669.398107	-0.191008250518115	0.230442590754902	-0.828875642703005	0.407174779444345	0.619485156799315
Os01g0100800	514061721.370403	-0.0701698678526255	0.214031721171381	-0.32784798191871	0.74302660616266	0.869283591416009
Os01g0101150	4028491.60186084	0.972899223064754	0.7792715760149	1.24847261597817	0.21185803067285	0.405869052609417
Os01g0101200	545354486.197526	-1.13674395283609	0.640275217725223	-1.77539895558464	0.0758320363488094	0.195562592784018
Os01g0101300	70848542.1253825	-0.437460559205554	0.361885188281928	-1.2088379778195	0.22672509791731	0.425096431852372
Os01g0101600	946839963.398181	-0.650474603613795	0.283384157513628	-2.29538097443755	0.0217113007116445	0.0743442932023716
Os01g0101800	8012878.85334279	-1.82288368380903	0.999262824499002	-1.82422846033822	0.0681175406368243	0.180281009805731
Os01g0102000	11253496.7266937	3.53042241863824	2.36249379229101	1.49436262230964	0.135080865511366	0.296636149762066
Os01g0104800	156796215.370281	0.554153237543002	0.381181938965875	1.45377621785122	0.146008359038664	0.31364456604689
Os01g0104900	36202119.8324532	-1.53104557861312	0.715460739942706	-2.13994352609163	0.032359330965122	0.102070575387128
Os01g0105300	1022644.23241157	2.47321689422921	2.96048284098901	0.835409974341543	0.403486915767436	0.616011523750068
Os01g0105400	262173367.924061	-0.0640328983130122	0.218949598301845	-0.292454970503011	0.769938783910396	0.884340924222817
Os01g0105700	28795363.2385647	0.477334441836157	0.347845412228427	1.37226027728287	0.169982426758156	0.34816437688498
Os01g0105800	435253737.893474	0.867415801641566	0.388415118594195	2.23321843078878	0.0255345434871193	0.0847360284485795
Os01g0102300	1540254156.86531	-0.601174757031705	0.19193068711628	-3.13224928261466	0.00173472517470229	0.00933613006804344
Os01g0102400	13307372.2333217	-0.605438283577021	0.706588356125584	-0.856847241152973	0.391529313552272	0.604559238838558
Os01g0102500	509376559.741319	-0.376293122547327	0.349085475809913	-1.07793978444474	0.281060629342138	0.489310374612294
Os01g0102800	155383678.630419	0.326881325657587	0.257551182499685	1.26918976835987	0.204373389389652	0.396332699956053
Os01g0102850	88860061.2416058	-0.10561379810735	0.305781581093631	-0.345389665818397	0.729801445204986	0.862203582895406
Os01g0103000	20466234.5946598	1.22903593266614	0.510350945901514	2.4082172131475	0.0160306400609352	0.0585492008721795
Os01g0103100	6959469.11840181	-0.0108330594443575	0.572203987203417	-0.0189321635057156	0.984895221367867	0.993320120279991
Os01g0103400	291155017.099859	-0.58449468612914	0.305116103051967	-1.91564679898127	0.0554100684226464	0.154370238798949
Os01g0103600	320222980.077201	0.78792493510885	0.2230588268316	3.53236384455523	0.000411862255184996	0.00268617359128174
Os01g0103700	54685132.1813158	0.672752772904532	0.217035091529228	3.09974192728153	0.00193689325482999	0.0102179112452891
Os01g0103800	287650228.100893	0.10178232486699	0.30953224492737	0.328826241966722	0.742287026859944	0.869060848800883
Os01g0103900	5103161.76739269	-0.674030370464219	0.850075464222772	-0.792906511047802	0.427832293565203	0.637222710867214
Os01g0104000	416354718.078088	-0.372668536265043	0.142007793932348	-2.62428227314469	0.00868317891485975	0.0358790489084916
Os01g0104200	8765363.43908713	-0.0972975014545839	1.1358820484308	-0.0856581029597208	0.931738208656922	0.968089391335528
Os01g0104350	531725983.089253	0.108025814373369	0.23781770421448	0.454237899277439	0.649657607695646	0.810609253950582
Os01g0104600	1088572444.56943	-1.12187229689676	0.305977786038369	-3.66651550565857	0.000245878016566959	0.00170674057341478
Os01g0107000	929192941.192165	-0.881232312483018	0.178047484194186	-4.9494229950585	7.44338197212422e-07	8.35034001565603e-06
Os01g0107400	33462447.5914225	-0.0430647383129126	0.645617475454446	-0.0667031794370182	0.946818003126985	0.976198822428502
Os01g0107700	3941162.01016484	1.46875699155945	0.874803915583619	1.67895566697318	0.0931606842148151	0.227223006448025
Os01g0107900	1859882154.66739	-1.05805845534172	0.251856812225407	-4.20103171318941	2.65701365040111e-05	0.000231517656789254
Os01g0106300	37812814.7803664	1.30249860940582	1.28143344575806	1.01643874968107	0.309420500938288	0.520443568337198
Os01g0106500	201948819.816378	0.736223459439692	0.356259994201449	2.06653419250715	0.0387780672913044	0.117568555532543
Os01g0106600	115284750.322655	-0.493935521866081	0.560576532894371	-0.881120583688708	0.378252557395587	0.591635643949461
Os01g0106700	73844816.7515011	0.428850999696605	0.160021155947947	2.6799643906841	0.00736299924250263	0.0314347909301993
Os01g0108700	866018.359984748	20.2961709105804	3.30969225073066	6.1323438474075	NA	NA
Os01g0108000	455771735.847164	-0.194713465719134	0.273918681583226	-0.710844052671788	0.477180878622329	0.681310280405568
Os01g0108200	704315289.949306	-0.539902149149963	0.272248398245797	-1.98312332645027	0.0473536556215639	0.136689997706519
Os01g0108400	690667640.516655	-0.183151566159439	0.802911812527247	-0.228109193689592	0.819561352969225	0.910428012669279
Os01g0108500	98684304.2301149	-0.0553771688038236	0.803571632315915	-0.0689137925939783	0.945058239718665	0.975253846290233
Os01g0108800	179861387.301925	-2.90641025415454	0.690986752577698	-4.20617362534418	2.5973072155461e-05	0.000226592663976953
Os01g0109500	15319064.1473562	0.640583518409483	2.50720656635095	0.255496905203867	0.798339333603167	0.899086464148087
Os01g0109000	1348098090.10948	-0.752660447799331	0.207221269673443	-3.63215826727361	0.000281060647272539	0.00192184712864736
Os01g0109300	8467608.04577968	-1.69975893372016	0.717058068630368	-2.3704620421702	0.0177658680486207	0.0634835078953802
Os01g0109750	509209001.721069	-0.338478118500508	0.234211731825077	-1.44518003373675	0.148407323130546	0.317271108546316
Os01g0110050	13379706.5792659	-2.93834583403116	0.620060076504549	-4.7388082951501	2.1497876429616e-06	2.25351930393834e-05
Os01g0110100	66395688.5264474	-2.3535524457615	0.653468896848882	-3.60162887187233	0.000316229594745492	0.00212994575628911
Os01g0110200	252465964.597949	-2.3005495950573	0.830259327938708	-2.7708807569424	0.00559048956273529	0.0250612422480094
Os01g0110500	13921149.7675684	-0.0489135429543926	0.430895797347254	-0.113515943426512	0.909621523754105	0.956279693848016
Os01g0110700	36183854.6870533	-1.42951425048243	0.349278289005299	-4.09276584168316	4.26258114646407e-05	0.000355405324014141
Os01g0110800	32583915.0186293	1.76695670898503	0.652019109324902	2.70997687600679	0.00672878991335706	0.0291368959557169
Os01g0111000	7169036.48690857	0.571152928666314	3.72495799961781	0.15333137413225	0.878136960225374	0.94168353966859
Os01g0111100	1172818346.2009	-2.17050252095058	0.657747976534412	-3.29989995923161	0.000967192995904922	0.00562148704258498
Os01g0111200	1079423586.79166	-0.24903853368725	0.232851495944037	-1.0695165718287	0.284836965617938	0.493516922594412
Os01g0111300	280345451.3952	-0.650805323472776	0.195016418514655	-3.33718221485987	0.000846324429669192	0.00501232083584622
Os01g0111400	155159253.131477	-0.29184934409718	0.21852585713138	-1.33553689219357	0.181700689128564	0.365837956089076
Os01g0113000	2720435.6705809	0.416857003195417	0.809946745759063	0.514672113170537	0.606782163649408	0.780837405463432
Os01g0113200	14383239.1580601	0.887364101655425	0.540174617979517	1.64273564902872	0.100437639565604	0.239770924883958
Os01g0113300	1262367.38391767	20.8620960973038	0.942196296398518	22.1419848252936	1.2462608044246e-108	3.88066441254676e-106
Os01g0113350	98515976.8981897	-1.32784610405479	0.558814885677633	-2.37618241404684	0.0174928126062563	0.0626830086427786
Os01g0113400	11183392.2009625	-0.173491537726265	0.69496201337838	-0.249641756508216	0.802864403707339	0.901271312919711
Os01g0113450	186867.515099219	-18.9209777475864	3.11148834604573	-6.08100550067379	NA	NA
Os01g0113500	110691708.587247	-1.13788245972235	0.153372981645832	-7.41905417441743	1.17959659852882e-13	2.10198401944739e-12
Os01g0111700	583139067.304006	0.610239838213774	0.863627001298633	0.706601156860725	0.479814369824509	0.683463222936935
Os01g0111800	334587990.471164	-0.697846972744331	0.286107457516431	-2.43910794497293	0.0147235694291376	0.0546794537404974
Os01g0111900	647144156.511324	-1.14336183032623	0.486909067215122	-2.34820402270528	0.0188641851450541	0.0665562650788893
Os01g0112050	7257778.88394665	1.82042886516892	3.2057787779061	0.567858542740107	0.570131024233995	0.753719917080083
Os01g0112100	7425585.43812062	0.629578373341824	0.403443597799954	1.56051149844742	0.118639054861252	0.271149464992011
Os01g0112300	214760624.703503	0.136696533031504	0.251492326393349	0.543541566424186	0.586756979799921	0.766561966832364
Os01g0112400	10850423.0976754	-1.74612293581949	0.521326832492799	-3.34938243533361	0.000809919189842668	0.00482494905148362
Os01g0112500	1456155345.20812	-0.322420430356936	0.212304327482482	-1.51867102371496	0.12884532376909	0.287165252581536
Os01g0113600	12549464.1433713	1.94427862269616	0.503183086173341	3.86395861888405	0.000111564129667863	0.000844133825972915
Os01g0113650	11403606.1378229	-0.03086846883884	0.697068641567105	-0.0442832556194803	0.964678618660652	0.983879830773071
Os01g0113700	553184.976695393	19.6520046555256	2.5299717565746	7.76767748669772	7.99382838574753e-15	1.72122432476096e-13
Os01g0113800	58828804.2069384	-0.182589272452803	0.290526922000954	-0.628476256848249	0.529691995772458	0.723662584462307
Os01g0113900	7336367.44902247	-2.41642499520553	0.785895564981803	-3.07474059261485	0.00210685714561951	0.0109651926147008
Os01g0113950	4306267.75813446	-2.07576634385995	0.882965214550448	-2.35090387441458	0.0187278712511535	0.0661810762327973
Os01g0114000	17509061.5822029	-2.68480165390501	1.02672114385654	-2.61492779219529	0.00892463207770054	0.0366770666502861
Os01g0118350	145891.074745255	17.7271037040329	3.13964210180439	5.64621798575225	NA	NA
Os01g0118300	17554271.8328516	0.271698326262602	0.459947596130506	0.59071583056064	0.554710839171553	0.741690991566127
Os01g0118400	546652341.585626	0.979782886548431	0.41776980613339	2.34526974463922	0.0190133183637398	0.0669657013367911
Os01g0118600	27590950.0963591	0.704582206645143	0.943533208190092	0.746748710622162	0.455215260574469	0.662011081736881
Os01g0116100	3591925.95812986	-0.265615490969044	3.17520075887482	-0.0836531328693588	0.933332221021614	0.968752513720032
Os01g0116200	44528.7600672978	16.0153341850322	3.02692114830256	5.29096510955144	NA	NA
Os01g0114100	4574765.36246758	-0.217781267886948	0.524262407932609	-0.415405080722368	0.67784538793944	0.829328613849169
Os01g0114200	37151232.5595346	-1.10989117669808	0.639201670846439	-1.73637089406908	0.0824982752547958	0.208272179959295
Os01g0114300	445607694.230788	-0.926619863902558	0.27841591376343	-3.32818570381687	0.00087413576445704	0.00516318323130656
Os01g0114402	322856.855170475	-0.504446533782775	3.72495856446865	-0.135423394663917	NA	NA
Os01g0114550	92919002.2423471	-0.487266629048538	0.570283712806071	-0.85442845044785	0.392867637742657	0.605723937376605
Os01g0114600	830580.547031894	1.81743362386038	3.72495836597491	0.487907097287707	NA	NA
Os01g0114700	3072373.24898725	1.00742950850572	2.3337476670575	0.431678849742968	0.665974841499451	0.821826895149815
Os01g0114800	13519917.9803697	0.0819205139978606	0.720804073187774	0.113651569192118	0.909514005850265	0.956279693848016
Os01g0114900	861814.635760243	0.0805011890589765	3.72495819887433	0.0216112999827229	NA	NA
Os01g0115100	474009147.632882	-1.10376478617241	0.671437180535824	-1.64388392267997	0.100200181715311	0.239449597282447
Os01g0115300	129373597.59727	-0.638918082234745	0.379126377194988	-1.68523774832513	0.0919427108029502	0.225134041736269
Os01g0115533	465646.830241261	19.4032587937716	2.58182813145051	7.51531775388573	5.67728725098343e-14	1.04700040054583e-12
Os01g0115600	78929776.7013664	0.805401543641204	0.957561156308199	0.841096715687973	0.400293754888845	0.613164399516919
Os01g0115700	64691964.1288453	-1.87948988840966	0.955583221822723	-1.96685107637683	0.0492003821591195	0.140834281895191
Os01g0115725	1358801.18468376	-2.17154713805015	2.37125506340305	-0.915779652541344	0.359782477713011	0.572614041882613
Os01g0115750	7645750.36163733	-1.1785802111933	0.674081984492028	-1.74842265230015	0.0803908682765595	0.20447517108609
Os01g0115752	290211.478695731	-19.5580689857975	2.45601620839171	-7.96333058347562	1.67469252396216e-15	4.18466378827088e-14
Os01g0115800	65407276.1061182	0.292723818076048	0.475108511875599	0.616119919469459	0.53781537617746	0.729256866868669
Os01g0115900	296894650.949353	-0.521977220250875	0.485453918964147	-1.07523536191584	0.282269367174119	0.490467762907783
Os01g0116300	40334543.6080777	0.899776865802788	0.32980860998172	2.72817882423585	0.00636850734421418	0.0278599255000493
Os01g0116400	16688938.3809692	-0.410518126873333	0.517245882702601	-0.793661468561882	0.427392537414985	0.636802033539977
Os01g0116650	187217.356399928	-0.996315408508675	3.72495903527057	-0.267470165195067	NA	NA
Os01g0116900	469319605.578991	-1.68219652770435	0.234738681488033	-7.16625192337596	7.70788780012718e-13	1.29020798683314e-11
Os01g0116600	544904738.64221	-0.223862010347601	0.146653635413879	-1.52646751453401	0.126893474758549	0.284263854910132
Os01g0116800	5722840.99559966	-1.47302862535299	0.962227827437371	-1.53085224034311	0.125805915141911	0.282426662997203
Os01g0116901	41887071.5867949	-1.20116506471074	0.510346087551458	-2.35362843766217	0.0185911840061101	0.0657829190546664
Os01g0117000	41227708.3672221	-2.12753522541392	0.561469545105891	-3.78922640410117	0.000151117142414484	0.00110718948867661
Os01g0117050	150139054.842559	-1.2660363254228	0.486724912974993	-2.60113318976102	0.00929163719577493	0.0378395848777635
Os01g0117100	470352710.286325	-2.09534359833899	0.621354827175748	-3.37221746206267	0.000745655481871738	0.00449503111037497
Os01g0117200	126278581.299172	-2.28730538117865	1.39371647947615	-1.6411554393318	0.100765153000091	0.240245807015433
Os01g0117266	209492864.907563	-2.28444327579127	1.53367105525497	-1.48952623704011	0.136348849651388	0.298588121930657
Os01g0117300	290960475.030146	-2.38963743864621	1.27425813011135	-1.87531661142895	0.0607491794152699	0.165579179624966
Os01g0117400	6294497.83136339	-0.766774030863744	3.20934469235327	-0.238919188920621	0.811168245785887	0.906073139884456
Os01g0117450	13764829.2323442	-1.2795225742869	1.04431156738964	-1.2252306823386	0.220488317166666	0.417040748177244
Os01g0117500	53346902.5958267	-0.792915848617569	0.585483946163719	-1.35429135813716	0.175643442131893	0.356750955218214
Os01g0117600	4808664.28180259	0.213558314167237	1.01675213518889	0.210039700705976	0.833636687408208	0.917884869562615
Os01g0117700	11901046.5062139	0.403239099716313	0.923369165828771	0.436704099117697	0.66232595608594	0.818946842204109
Os01g0117900	671078510.725721	-0.352601133576808	0.66974752086439	-0.526468740222784	0.598562565809125	0.775212886646307
Os01g0118066	63657281.0525989	-0.890585164684095	0.56788041587593	-1.56826180263746	0.116820046372243	0.268296189416303
Os01g0118100	775669596.795611	-0.513738779759463	0.278400692992234	-1.8453214833549	0.064990787158519	0.174377367975878
Os01g0119000	18742538.3243848	1.58762831057617	0.83437866636667	1.90276714227312	0.0570709364412118	0.157892573674012
Os01g0119800	421629.558146305	19.2579626888709	3.23505438712213	5.95290229602681	NA	NA
Os01g0118700	541995558.685744	0.814417666110855	0.293196752134953	2.77771721610338	0.00547422370275069	0.024626732000305
Os01g0119050	182861937.551596	0.771424068710031	1.11249347671965	0.693418959169709	0.488046667624169	0.690451855967836
Os01g0119100	296688859.36928	0.790550771372135	0.754828255433596	1.04732535604145	0.294949545395804	0.504879452996919
Os01g0119500	395488385.60846	-0.0057042768879368	0.227868448796799	-0.0250332019112641	0.980028480605369	0.990501639145163
Os01g0120300	514861282.807972	-0.40741419382213	0.198672532368293	-2.05068203926085	0.0402979211790626	0.121283260173119
Os01g0120600	516317858.863853	-0.0549410589989414	0.229380698416165	-0.239519102427973	0.81070308588293	0.905807136483295
Os01g0121000	10281042.4243648	1.22404347563381	3.23203390646829	0.378722349782322	0.704894054830133	0.84669136315088
Os01g0121100	1330862513.85197	0.0319029439929824	0.228999857518919	0.139314252587894	0.889201827772607	0.946817749838347
Os01g0120700	976069879.930225	0.349187395382091	0.241442163726025	1.44625690058978	0.148105159468241	0.316764539729186
Os01g0120800	795095493.927378	0.185433080077715	0.289747232579012	0.63998223012242	0.522184152084693	0.717493478771505
Os01g0121200	29561681.0185949	0.937668885116434	0.471735439627473	1.98770074569107	0.04684479641368	0.135448382773269
Os01g0121300	29367087.7478468	0.337903184088622	0.6582765339357	0.513314946939349	0.607731030105249	0.781478783311959
Os01g0121400	292249.029435403	18.7480153746945	1.06192985187763	17.6546646104218	9.36885473385252e-70	7.04491466798173e-68
Os01g0121500	471806578.23503	0.441677471413417	0.714768291706142	0.617930980624699	0.536620836018847	0.728410376416798
Os01g0121600	952928595.233134	0.63828276577046	0.428496123053482	1.48958819328873	0.136332548320283	0.298588121930657
Os01g0121700	708059971.955345	0.165798237964462	0.414194106571237	0.400291156571409	0.688942080726711	0.836366888311234
Os01g0121800	356134613.540332	0.0753809394403097	0.201656038348264	0.373809483007523	0.708546063731346	0.848765574493128
Os01g0122000	110714939.821273	-2.32595541438184	0.58424355809787	-3.98114002652334	6.85855288048233e-05	0.000545271791689541
Os01g0123700	14126707.3500911	-0.899015085787755	0.612561470285401	-1.46763244082082	0.142204091051558	0.307720328177142
Os01g0124000	910552104.451517	-2.34560267210839	0.831350415902395	-2.82143681802618	0.00478090540803407	0.0220004983990776
Os01g0124100	62858367.8814005	2.11292073757287	1.46741405545742	1.43989402971491	0.149897382461919	0.319472413586793
Os01g0124200	239264382.663595	1.37853721530981	1.04691855579654	1.31675688397839	0.187920129452968	0.374360572847251
Os01g0124401	3598991.67450856	-0.202690640991434	3.17705743406386	-0.0637982300282709	0.949130887622522	0.977222819753255
Os01g0124650	3812836.45708576	22.4540670373687	1.04374979968927	21.5128827273102	1.17942303920631e-102	2.89351785618614e-100
Os01g0124700	830886.307160357	-0.445612699260612	3.72495820059579	-0.119628912665205	NA	NA
Os01g0125550	24781059.753863	-0.135917866213582	0.514011115910415	-0.264425927779488	0.791451734827099	0.895332078969753
Os01g0125600	24045303.591214	0.393856122241205	0.405912791142903	0.970297391053504	0.33189827735971	0.543680134923628
Os01g0125700	93300980.194988	0.556067137347337	0.284761591497786	1.95274627600773	0.0508496673247881	0.144439341312903
Os01g0125800	74996829.7721273	-0.454055713521939	0.29413002398964	-1.54372446363358	0.122655097219654	0.27756583907898
Os01g0125850	274374.6584837	18.6404490340371	2.5172465793784	7.40509459293418	1.31057016982137e-13	2.32174531616495e-12
