Sequence ID	Number of Amino Acid	Molecular Weight	Theoretical pI	Instability Index	Aliphatic Index	Grand Average of Hydropathicity
OsSAPK1	342	38698.30	5.43	27.49	89.47	-0.208
OsSAPK2	339	38538.14	5.31	32.18	87.94	-0.248
OsSAPK3	334	37873.18	5.67	37.29	85.87	-0.424
OsSAPK4	360	41978.75	6.06	53.65	77.97	-0.616
OsSAPK5	370	42165.77	5.99	42.18	77.22	-0.501
OsSAPK6	365	41803.36	5.72	43.13	74.27	-0.621
OsSAPK7	359	41324.97	5.83	45.89	77.41	-0.567
OsSAPK8	371	41723.44	4.85	44.33	86.71	-0.303
OsSAPK9	361	40628.32	4.81	35.85	85.62	-0.272
OsSAPK10	362	40699.27	4.80	40.36	87.54	-0.281
